relation_semantique	forme_complete	GN1	GN2
r_lieu>origine	vin de Bordeaux	vin	Bordeaux
r_lieu>origine	café du Brésil	café	Brésil
r_lieu>origine	fromage de Normandie	fromage	Normandie
r_lieu>origine	huile d'olive de Provence	huile d'olive	Provence
r_lieu>origine	thé de Chine	thé	Chine
r_lieu>origine	épices des Indes	épices	Indes
r_lieu>origine	marbre de Carrare	marbre	Carrare
r_lieu>origine	soie de Lyon	soie	Lyon
r_lieu>origine	chocolat de Belgique	chocolat	Belgique
r_lieu>origine	parfum de Grasse	parfum	Grasse
r_social_tie	avocat de la défense	avocat	défense
r_social_tie	médecin de famille	médecin	famille
r_social_tie	chef du groupe	chef	groupe
r_social_tie	président de l'association	président	association
r_social_tie	directeur de l'école	directeur	école
r_social_tie	entraîneur de l'équipe	entraîneur	équipe
r_social_tie	professeur des étudiants	professeur	étudiants
r_social_tie	tuteur de l'enfant	tuteur	enfant
r_social_tie	conseiller du ministre	conseiller	ministre
r_social_tie	secrétaire du directeur	secrétaire	directeur
r_holo	coque du bateau	coque	bateau
r_holo	aile de l'avion	aile	avion
r_holo	toit de la maison	toit	maison
r_holo	manche du couteau	manche	couteau
r_holo	écran de l'ordinateur	écran	ordinateur
r_holo	moteur de la voiture	moteur	voiture
r_holo	page du livre	page	livre
r_holo	branche de l'arbre	branche	arbre
r_holo	pétale de la rose	pétale	rose
r_holo	roue du vélo	roue	vélo
r_quantificateur	brin d'herbe	brin	herbe
r_quantificateur	goutte d'eau	goutte	eau
r_quantificateur	grain de sable	grain	sable
r_quantificateur	pincée de sel	pincée	sel
r_quantificateur	tranche de pain	tranche	pain
r_quantificateur	verre de vin	verre	vin
r_quantificateur	cuillère de sucre	cuillère	sucre
r_quantificateur	morceau de fromage	morceau	fromage
r_quantificateur	bouteille de lait	bouteille	lait
r_quantificateur	kilo de pommes	kilo	pommes
r_objet>matière	cuillère de bois	cuillère	bois
r_objet>matière	statue de bronze	statue	bronze
